West Durow,–,Mitel Networks,https://www.youtube.com/watch?v=aWAJlyRZi50
Sajeel Hussain,–,CafeX,https://www.youtube.com/watch?v=Za8HE1zkAt4
Jack Norris,–,MapR,https://www.youtube.com/watch?v=3YMDkh9M0WQ
Bobby Patrick,–,HPE,https://www.youtube.com/watch?v=5DEgnXNq4d4
Elle Shelley,–,Local Motors,https://www.youtube.com/watch?v=Sj8bH4fNvg0
Jay Rodgers,–,Local Motors,https://www.youtube.com/watch?v=Sj8bH4fNvg0
Karen Quintos,–,Dell,https://www.youtube.com/watch?v=yymHd4zh1PE
Mick Slattery,–,Avanade,https://www.youtube.com/watch?v=g0EaqRuPojU
Stella Goulet,–,Avanade,https://www.youtube.com/watch?v=g0EaqRuPojU
Quentin Gallivan,–,Pentaho,https://www.youtube.com/watch?v=IU7XPGNsDoA
Rosanne Saccone,–,Pentaho,https://www.youtube.com/watch?v=pEPMelVpL6M
Bruno Aziza,–,AtScale,https://www.youtube.com/watch?v=dIU-wX0ZJ-k
Lawrence Schwartz,–,Attunity,https://www.youtube.com/watch?v=pFvTtJ_nSlI
Steve Sommer,–,Splunk,https://www.youtube.com/watch?v=snKJwq5nSQI
Narayan Venkat,–,Tegile,https://www.youtube.com/watch?v=BJCyuqWU5W0
